player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Charles Pickel,Congo DR,Congo DR,"DF,MF",29,1997,Espanyol,2,0,35.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.57,0.0,0.0,,18.0,9.7,,0,2,18.0,2,0.5,0.0,1.0,-1.0,-2.57,-2.85,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Cédric Bakambu,Congo DR,Congo DR,FW,35,1991,Real Betis,3,3,190.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.42,0.0,0.0,,63.0,52.8,63.0,0,0,,1,1.33,1.0,2.0,-1.0,-0.47,-1.0,0.0,2.0,1.0,4.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Dylan Batubinsika,Congo DR,Congo DR,DF,30,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edo Kayembe,Congo DR,Congo DR,MF,28,1998,Watford,3,2,160.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.13,0.56,0.0,0.0,53.0,44.4,73.0,0,1,15.0,1,0.33,1.0,2.0,-1.0,-0.56,-1.01,0.0,5.0,3.0,0.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Fiston Mayele,Congo DR,Congo DR,FW,31,1994,,2,0,42.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.14,0.0,2.14,2.14,2.14,5.0,1.0,20.0,10.71,2.14,0.2,1.0,21.0,11.7,,0,2,21.0,2,1.5,3.0,0.0,3.0,6.43,7.28,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Gaël Kakuta,Congo DR,Congo DR,"FW,MF",34,1991,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gédéon Kalulu,Congo DR,Congo DR,DF,28,1997,,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,1.7,,0,1,6.0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Joris Kayembe,Congo DR,Congo DR,"DF,FW",31,1994,Genk,4,0,45.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,,11.0,12.5,,0,4,11.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Lionel Mpasi,Congo DR,Congo DR,GK,31,1994,Le Havre,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,4,0,,0,1.0,5.0,5.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,4.0,360.0,5.0,1.25,19.0,14.0,73.7,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
Matthieu Epolo,Congo DR,Congo DR,GK,21,2005,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meschak Elia,Congo DR,Congo DR,"FW,MF",28,1997,Alanyaspor,2,0,46.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,1.96,0.0,1.96,2.0,1.0,50.0,3.91,1.96,0.0,0.0,23.0,12.8,,0,2,23.0,2,1.5,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Nathanaël Mbuku,Congo DR,Congo DR,"MF,FW",24,2002,Montpellier,3,2,143.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.89,1.26,0.0,0.0,48.0,39.7,67.0,0,1,9.0,1,1.0,2.0,1.0,1.0,0.63,1.04,0.0,4.0,8.0,0.0,14.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Ngal'Ayel Mukau,Congo DR,Congo DR,MF,21,2004,Lille,4,3,195.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.46,0.0,0.0,,49.0,54.2,59.0,0,1,19.0,0,1.0,4.0,2.0,2.0,0.92,2.01,0.0,3.0,4.0,1.0,0.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Noah Sadiki,Congo DR,Congo DR,MF,21,2004,Sunderland,4,2,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,65.0,71.9,90.0,2,2,40.0,0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Samuel Moutoussamy,Congo DR,Congo DR,MF,29,1996,Atromitos,4,4,330.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.82,0.0,0.0,,83.0,91.7,83.0,1,0,,0,1.0,3.0,5.0,-2.0,-0.55,-6.55,0.0,8.0,1.0,0.0,1.0,1.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,
Simon Banza,Congo DR,Congo DR,"FW,MF",29,1996,,2,0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,20.0,11.1,,0,2,20.0,2,0.5,0.0,1.0,-1.0,-2.25,-2.53,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Steve Kapuadi,Congo DR,Congo DR,DF,28,1998,Widzew Łódź,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,,90.0,50.0,90.0,2,0,,2,0.5,1.0,2.0,-1.0,-0.5,-1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Theo Bongonda,Congo DR,Congo DR,"FW,MF",30,1995,Spartak Moscow,2,0,34.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.65,0.0,0.0,,17.0,9.4,,0,2,17.0,2,1.5,2.0,1.0,1.0,2.65,2.92,0.0,0.0,1.0,0.0,2.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Timothy Fayulu,Congo DR,Congo DR,GK,26,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoane Wissa,Congo DR,Congo DR,FW,29,1996,Newcastle,4,4,360.0,4.0,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.75,0.0,0.75,0.5,0.5,11.0,3.0,27.3,2.75,0.75,0.18,0.67,90.0,100.0,90.0,4,0,,0,1.0,5.0,5.0,0.0,0.0,,0.0,5.0,9.0,1.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Andrej Kramarić,Croatia,Croatia,"FW,MF",34,1991,Hoffenheim,3,0,59.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.53,0.0,0.0,,20.0,16.4,,0,3,20.0,1,1.0,1.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,2.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ante Budimir,Croatia,Croatia,FW,34,1991,Osasuna,3,2,155.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.58,0.0,0.58,0.58,0.58,3.0,1.0,33.3,1.74,0.58,0.33,1.0,52.0,43.1,55.0,0,1,45.0,1,2.0,2.0,0.0,2.0,1.16,2.48,0.0,6.0,4.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Dominik Kotarski,Croatia,Croatia,GK,26,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik Livaković,Croatia,Croatia,GK,31,1995,Dinamo Zagreb,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,4.0,4.0,360.0,7.0,1.75,17.0,10.0,58.8,2.0,0.0,2.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0
Duje Ćaleta-Car,Croatia,Croatia,DF,29,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Matanović,Croatia,Croatia,FW,23,2003,Freiburg,3,0,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,3.79,1.89,0.0,0.0,32.0,26.4,,0,3,32.0,1,1.0,2.0,4.0,-2.0,-1.89,-2.23,0.0,4.0,3.0,1.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ivan Perišić,Croatia,Croatia,"MF,DF",37,1989,PSV,4,4,360.0,4.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.25,0.25,0.5,0.25,0.5,2.0,2.0,100.0,0.5,0.5,0.5,0.5,90.0,100.0,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,,0.0,4.0,1.0,0.0,20.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Ivor Pandur,Croatia,Croatia,GK,26,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josip Stanišić,Croatia,Croatia,"DF,MF",26,2000,Bayern Munich,4,4,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,,0.0,0.0,4.0,0.0,7.0,5.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Josip Šutalo,Croatia,Croatia,DF,26,2000,Ajax,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,,90.0,100.0,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,,0.0,2.0,1.0,0.0,0.0,6.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Joško Gvardiol,Croatia,Croatia,DF,24,2002,Manchester City,4,2,139.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.65,0.0,0.0,,35.0,38.6,68.0,1,2,2.0,0,1.5,2.0,5.0,-3.0,-1.94,-2.76,0.0,2.0,3.0,0.0,0.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Kristijan Jakić,Croatia,Croatia,"DF,MF",29,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,Croatia,Croatia,MF,40,1985,Milan,4,4,317.0,3.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.28,0.28,0.0,0.28,1.0,0.0,0.0,0.28,0.0,0.0,,79.0,88.1,79.0,2,0,,0,1.5,6.0,6.0,0.0,0.0,2.09,0.0,4.0,3.0,0.0,11.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Luka Sučić,Croatia,Croatia,"FW,MF",23,2002,Real Sociedad,1,0,19.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.74,0.0,0.0,,19.0,5.3,,0,1,19.0,3,3.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luka Vušković,Croatia,Croatia,DF,19,2007,Hamburger SV,1,1,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,65.0,18.1,65.0,0,0,,3,0.0,2.0,3.0,-1.0,-1.38,-1.38,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Marco Pašalić,Croatia,Croatia,MF,25,2000,Orlando City,3,1,99.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.73,1.82,0.0,0.0,33.0,27.5,71.0,0,2,14.0,1,2.0,1.0,1.0,0.0,0.0,0.34,0.0,0.0,2.0,2.0,11.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Marin Pongračić,Croatia,Croatia,DF,28,1997,Fiorentina,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0,,90.0,75.0,90.0,3,0,,1,2.0,4.0,3.0,1.0,0.33,2.33,0.0,3.0,0.0,0.0,0.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Mario Pašalić,Croatia,Croatia,MF,31,1995,Atalanta,4,1,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,2.93,0.73,0.0,0.0,31.0,34.2,77.0,0,3,15.0,0,1.5,3.0,4.0,-1.0,-0.73,-0.73,0.0,2.0,0.0,1.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Baturina,Croatia,Croatia,"MF,FW",23,2003,Como,4,4,321.0,3.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,3.0,1.0,33.3,0.84,0.28,0.33,1.0,80.0,89.2,80.0,1,0,,0,1.5,6.0,5.0,1.0,0.28,4.9,0.0,1.0,14.0,0.0,8.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Martin Erlić,Croatia,Croatia,DF,28,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Kovačić,Croatia,Croatia,MF,32,1994,Manchester City,4,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,5.0,4.0,80.0,1.67,1.33,0.0,0.0,68.0,75.0,79.0,0,1,33.0,0,1.5,3.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Nikola Moro,Croatia,Croatia,MF,28,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikola Vlašić,Croatia,Croatia,MF,28,1997,Torino,3,2,189.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.48,0.0,0.48,0.48,0.48,3.0,1.0,33.3,1.43,0.48,0.33,1.0,63.0,52.5,88.0,0,1,13.0,1,1.0,3.0,3.0,0.0,0.0,0.53,0.0,5.0,0.0,2.0,3.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Petar Musa,Croatia,Croatia,FW,28,1998,FC Dallas,2,2,110.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.82,0.0,0.82,0.82,0.82,1.0,1.0,100.0,0.82,0.82,1.0,1.0,55.0,30.6,55.0,0,0,,2,1.5,2.0,3.0,-1.0,-0.82,-0.82,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Petar Sučić,Croatia,Croatia,"MF,FW",22,2003,Inter,4,3,289.0,3.2,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.31,0.31,0.62,0.31,0.62,3.0,2.0,66.7,0.93,0.62,0.33,0.5,72.0,80.3,90.0,3,1,19.0,0,1.5,5.0,7.0,-2.0,-0.62,-1.89,0.0,7.0,6.0,1.0,4.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Toni Fruk,Croatia,Croatia,"FW,MF",25,2001,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ar'jany Martha,Curaçao,Curaçao,"DF,FW",22,2003,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armando Obispo,Curaçao,Curaçao,DF,27,1999,PSV,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,3,0,,0,0.33,1.0,9.0,-8.0,-2.67,,0.0,1.0,0.0,1.0,0.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Brandley Kuwas,Curaçao,Curaçao,"FW,MF",33,1992,Volendam,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.4,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Deveron Fonville,Curaçao,Curaçao,DF,23,2003,NEC Nijmegen,3,3,241.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,80.0,89.3,80.0,1,0,,0,0.33,1.0,9.0,-8.0,-2.99,-2.99,0.0,2.0,3.0,0.0,0.0,5.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Eloy Room,Curaçao,Curaçao,GK,37,1989,Miami FC,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,3,0,,0,0.33,1.0,9.0,-8.0,-2.67,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,3.0,270.0,9.0,3.0,29.0,20.0,69.0,0.0,1.0,2.0,1.0,33.3,1.0,1.0,0.0,0.0,0.0
Gervane Kastaneer,Curaçao,Curaçao,"FW,MF",30,1996,,3,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,10.0,11.1,,0,3,10.0,0,0.33,0.0,1.0,-1.0,-3.0,-0.38,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Godfried Roemeratoe,Curaçao,Curaçao,MF,26,1999,RKC Waalwijk,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,2.6,,0,1,7.0,2,1.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jearl Margaritha,Curaçao,Curaçao,"FW,MF",26,2000,Beveren,2,0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.2,0.0,0.0,,21.0,15.2,,0,2,21.0,1,0.5,0.0,3.0,-3.0,-6.59,-4.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jeremy Antonisse,Curaçao,Curaçao,"FW,MF",24,2002,AE Kifisia,2,0,75.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,0.0,0.0,,38.0,27.8,,0,2,38.0,1,0.0,0.0,5.0,-5.0,-6.0,-4.62,0.0,0.0,0.0,0.0,8.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Joshua Brenet,Curaçao,Curaçao,DF,32,1994,Kayserispor,2,2,179.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,66.3,90.0,1,0,,1,0.5,0.0,2.0,-2.0,-1.01,4.93,0.0,0.0,1.0,1.0,0.0,1.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Juninho Bacuna,Curaçao,Curaçao,MF,28,1997,Volendam,3,3,254.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,1.77,0.35,0.0,0.0,85.0,94.1,85.0,2,0,,0,0.33,1.0,9.0,-8.0,-2.83,-2.83,0.0,6.0,3.0,0.0,5.0,5.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Juriën Gaari,Curaçao,Curaçao,DF,32,1993,,2,2,166.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.08,0.0,0.0,,83.0,61.5,83.0,1,0,,1,0.5,0.0,2.0,-2.0,-1.08,4.11,0.0,4.0,1.0,0.0,0.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Jürgen Locadia,Curaçao,Curaçao,FW,32,1993,Miami FC,3,3,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.38,0.0,0.0,,78.0,87.0,78.0,0,0,,0,0.33,1.0,6.0,-5.0,-1.91,5.8,0.0,3.0,4.0,2.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Kenji Gorré,Curaçao,Curaçao,"FW,MF",31,1994,,1,0,16.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,16.0,5.9,,0,1,16.0,2,1.0,0.0,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Kevin Felida,Curaçao,Curaçao,MF,26,1999,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Bacuna,Curaçao,Curaçao,MF,34,1991,,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,16.7,2.0,0.33,0.0,0.0,90.0,100.0,90.0,3,0,,0,0.33,1.0,9.0,-8.0,-2.67,,0.0,3.0,3.0,0.0,4.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Livano Comenencia,Curaçao,Curaçao,MF,22,2004,Zürich,3,3,233.0,2.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.39,0.0,0.39,0.39,0.39,5.0,2.0,40.0,1.93,0.77,0.2,0.5,78.0,86.3,78.0,1,0,,0,0.33,1.0,8.0,-7.0,-2.7,-0.27,0.0,4.0,1.0,0.0,1.0,11.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Riechedly Bazoer,Curaçao,Curaçao,DF,29,1996,Konyaspor,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,33.3,90.0,1,0,,2,0.0,1.0,7.0,-6.0,-6.0,-5.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Roshon van Eijma,Curaçao,Curaçao,DF,28,1998,RKC Waalwijk,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,15.0,5.6,,0,1,15.0,2,1.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Sherel Floranus,Curaçao,Curaçao,DF,27,1998,Zwolle,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,90.0,100.0,90.0,3,0,,0,0.33,1.0,9.0,-8.0,-2.67,,0.0,2.0,0.0,1.0,0.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
Shurandy Sambo,Curaçao,Curaçao,DF,24,2001,Sparta R.,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,1.0,0.4,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
